LON	LAT	COUNT
113.993484	39.249008	1.4897959232
114.043335	39.3988	2.610765934
113.99321	41.348103	1.7374999523
114.043327	39.44878	1.5
113.993202	41.398075	1.709923625
113.993477	39.348961	4.6060605049
113.993469	39.398937	1.6969697475
113.993187	41.498028	4
114.043312	39.598736	1.6792452335
113.993462	39.448917	4.1657457352
113.993454	39.498898	2
113.993179	41.548008	1.9612903595
114.043297	39.698715	3.0326530933
113.993172	41.597996	1.3214285374
113.993446	39.548885	1.4814814329
114.043289	39.748711	4.4485712051
113.993156	41.697975	1
114.043282	39.798706	1.6101695299
113.993156	41.747971	1.5348837376
113.993431	39.698853	1.3793103695
114.043282	39.848701	3.2644627094
113.993423	39.748844	1.6114649773
113.993149	41.797966	1.5871559381
113.993416	39.798843	2.3488371372
114.043266	39.948696	1.5111111403
114.043259	39.998695	1.5597826242
113.993126	41.947971	2
114.043251	40.048695	2.3417720795
114.043243	40.09869	3.8302752972
113.993401	39.948833	3.134693861
113.993393	39.998833	3.8834354877
114.04351	37.999203	4.1103310585
114.043236	40.148685	1.9892085791
114.043236	40.198681	2
113.993385	40.048828	2.2468943596
114.043503	38.099224	2.1615924835
114.043228	40.248672	2.1428570747
114.093452	38.299198	2.3506138325
114.093178	40.398582	5.1133179665
114.093445	38.349201	5.0681686401
114.043221	40.29866	3.5271317959
114.043213	40.348648	3.2785713673
114.093437	38.3992	2.642585516
114.093178	40.448563	2.2352941036
114.093437	38.449196	1.7772277594
114.09317	40.498539	1.6722222567
114.09343	38.499191	1.8571428061
114.093163	40.548515	2.3529412746
114.043198	40.448612	3.444444418
114.04319	40.498592	3
114.093422	38.549179	2.6647145748
114.093147	40.648457	1.6936936378
114.093414	38.599167	1.876106143
114.093407	38.649151	1.6710525751
114.09314	40.698421	1.6860464811
114.043175	40.598537	2.9014084339
114.093407	38.699131	2.0178971291
114.043175	40.648506	2.9695944786
114.093132	40.748386	1.2250000238
114.093399	38.749111	1.8175675869
114.043159	40.748436	1.5
114.093391	38.799084	1.734375
114.043152	40.798397	2
114.093384	38.84906	2.0965092182
114.043144	40.848358	2
114.093376	38.899033	2.4255318642
114.093109	40.948223	1.627450943
114.093369	38.949001	2.0242424011
114.093369	38.99897	1.3214285374
114.043129	40.948277	1.1481481791
114.093086	41.098099	2
114.093353	39.098911	1.7169811726
114.043114	41.048191	2
114.093079	41.148056	2
114.093346	39.14888	1.6304347515
114.093071	41.198017	1.4827586412
114.043106	41.098148	1.3589743376
114.093063	41.247982	1
114.093338	39.198849	1
114.043098	41.148109	1.6178861856
114.093056	41.297947	5.5236639977
114.09333	39.248821	1.6470588446
114.043098	41.198071	1.5930233002
114.093048	41.347916	1.8791208267
114.093323	39.298798	1.6533333063
114.043091	41.248032	2.117647171
114.09304	41.397888	1.895522356
114.043083	41.298	1.7741935253
114.093323	39.34877	1.5136985779
114.093033	41.447861	1.9262294769
114.093315	39.39875	2.7100000381
114.043076	41.347965	2.3684210777
114.043068	41.397938	1.4956521988
114.093025	41.497841	2
114.093307	39.44873	2.2845528126
114.04306	41.447914	1.953846097
114.093025	41.547821	1.4954954386
114.0933	39.498711	2.3741722107
114.093018	41.597809	1.7365269661
114.043053	41.49789	1.6086956263
114.093292	39.548698	1.5
114.09301	41.647797	1.9196141958
114.043045	41.547874	1.8787878752
114.093285	39.598682	1
114.093002	41.697788	1.9315068722
114.043037	41.597858	1.5416666269
114.093277	39.698666	2.1830985546
114.092995	41.747784	1.6333333254
114.04303	41.647846	1.5263158083
114.092987	41.797779	1.8606060743
114.043022	41.697842	1
114.093269	39.748657	2.7610619068
114.043015	41.747833	1.53125
114.093262	39.798656	3.0945944786
114.092979	41.847778	2.1240875721
114.092972	41.897781	1.6818181276
114.093254	39.848652	2.3598129749
114.043007	41.797832	1.8831775188
114.092964	41.947784	1.7200000286
114.042999	41.847832	2.2979590893
114.092957	41.997791	1.9230768681
114.042999	41.897835	1.8333333731
114.093239	39.948647	1.8284313679
114.042992	41.947838	1
114.143593	37.999203	4.6766400337
114.093231	39.998646	2.7450199127
114.093231	40.048641	8.7526769638
114.143585	38.049213	2.9638009071
114.143578	38.09922	5.4593129158
114.093216	40.148636	1.7536232471
114.143578	38.149231	2.3545610905
114.093483	38.049164	3.2113022804
114.14357	38.199238	7.0869913101
114.093475	38.099171	2.6025876999
114.093468	38.149181	2.4091928005
114.093201	40.248623	2.0590717793
