TIME	LAT	LON	POPULATION
2019-08-12 10:32:57	39.7	116.4	3
2019-08-12 10:32:57	39.9	116.25	58
2019-08-12 10:32:57	38.8	115.15	4
2019-08-12 10:32:57	40.7	114.5	3
2019-08-12 10:32:57	38.4	116.8	2
2019-08-12 10:32:57	40.7	114.9	1
2019-08-12 10:32:57	40.7	114.85	1
2019-08-12 10:32:57	38.05	114.4	46
2019-08-12 10:32:57	40.95	117.65	2
2019-08-12 10:32:57	39.5	116.05	4
2019-08-12 10:32:57	39.75	116.95	2
2019-08-12 10:32:57	38.75	115.75	2
2019-08-12 10:32:57	40	114	1
2019-08-12 10:32:57	39.05	117.6	13
2019-08-12 10:32:57	39.6	116.8	2
2019-08-12 10:32:57	38.3	116.85	116
2019-08-12 10:32:57	39.6	118	2
2019-08-12 10:32:57	39.45	117.25	3
2019-08-12 10:32:57	39.85	116.55	2
2019-08-12 10:32:57	38	116	3
2019-08-12 10:32:57	40.1	116.3	19
2019-08-12 10:32:57	40.1	116.25	42
2019-08-12 10:32:57	40	117.7	1
2019-08-12 10:32:57	40.05	116.1	5
2019-08-12 10:32:57	39.4	116.75	3
2019-08-12 10:32:57	38.35	114.4	1
2019-08-12 10:32:57	40.9	117.95	22
2019-08-12 10:32:57	39.3	115.25	1
2019-08-12 10:32:57	38.85	115.9	2
2019-08-12 10:32:57	38.2	115.65	5
2019-08-12 10:32:57	38.35	116.1	3
2019-08-12 10:32:57	38	116.75	2
2019-08-12 10:32:57	40.7	117.7	1
2019-08-12 10:32:57	40.95	117.55	2
2019-08-12 10:32:57	38.85	115.85	2
2019-08-12 10:32:57	40.05	117.85	5
2019-08-12 10:32:57	39.9	117.35	3
2019-08-12 10:32:57	38.15	114.4	1
2019-08-12 10:32:57	38.65	116.75	3
2019-08-12 10:32:57	38.1	116.35	2
2019-08-12 10:32:57	38.15	115.2	3
2019-08-12 10:32:57	38.65	116	5
2019-08-12 10:32:57	40.15	117.25	3
2019-08-12 10:32:57	39.15	115.5	1
2019-08-12 10:32:57	41.9	117.65	1
2019-08-12 10:32:57	39.4	114.95	1
2019-08-12 10:32:57	40.1	116.35	16
2019-08-12 10:32:57	40.1	116.4	19
2019-08-12 10:32:57	39.6	116.35	11
2019-08-12 10:32:57	39.6	116.4	3
2019-08-12 10:32:57	39.25	116.05	1
2019-08-12 10:32:57	40.2	116.5	3
2019-08-12 10:32:57	39	116.45	3
2019-08-12 10:32:57	38.2	117.1	2
2019-08-12 10:32:57	39.25	115.65	3
2019-08-12 10:32:57	38.55	116.75	5
2019-08-12 10:32:57	38.9	115.4	4
2019-08-12 10:32:57	39.6	117.5	2
2019-08-12 10:32:57	38.8	116.7	5
2019-08-12 10:32:57	39.9	116.45	266
2019-08-12 10:32:57	39.6	117.45	1
2019-08-12 10:32:57	39.7	116.2	30
2019-08-12 10:32:57	39.8	116.45	92
2019-08-12 10:32:57	39.75	118	3
2019-08-12 10:32:57	40.45	116	3
2019-08-12 10:32:57	38.5	114.5	4
2019-08-12 10:32:57	39	115.95	9
2019-08-12 10:32:57	39.05	116.55	6
2019-08-12 10:32:57	40.9	117.85	4
2019-08-12 10:32:57	39.95	117.2	2
2019-08-12 10:32:57	38.95	116.55	2
2019-08-12 10:32:57	38.15	116.4	2
2019-08-12 10:32:57	38.25	114.05	6
2019-08-12 10:32:57	38.25	114.1	4
2019-08-12 10:32:57	39.25	117.65	1
2019-08-12 10:32:57	38.95	117.8	1
2019-08-12 10:32:57	39.8	116.25	10
2019-08-12 10:32:57	38.8	114.1	2
2019-08-12 10:32:57	38.1	114.95	3
2019-08-12 10:32:57	38.55	117.3	1
2019-08-12 10:32:57	41.7	117.85	4
2019-08-12 10:32:57	40.95	117.9	85
2019-08-12 10:32:57	39.3	117.2	38
2019-08-12 10:32:57	40.25	117.95	2
2019-08-12 10:32:57	38.3	114	2
2019-08-12 10:32:57	39.75	116.45	2
2019-08-12 10:32:57	38.7	117.1	1
2019-08-12 10:32:57	39.7	116.05	1
2019-08-12 10:32:57	40.3	115.65	1
2019-08-12 10:32:57	38	116.7	2
2019-08-12 10:32:57	39.35	116.45	2
2019-08-12 10:32:57	39.25	116.15	14
2019-08-12 10:32:57	39.95	114.8	1
2019-08-12 10:32:57	38.2	115.75	1
2019-08-12 10:32:57	40.35	116.9	2
2019-08-12 10:32:57	40.35	116.85	5
2019-08-12 10:32:57	40.2	116.65	1
2019-08-12 10:32:57	38.45	115.05	4
2019-08-12 10:32:57	40.95	117.3	1
2019-08-12 10:32:57	38.95	117.55	5
2019-08-12 10:32:57	39.55	117.8	2
2019-08-12 10:32:57	38.55	115.8	3
2019-08-12 10:32:57	38.55	115.75	2
2019-08-12 10:32:57	39.95	116.35	68
2019-08-12 10:32:57	39.75	116.75	13
2019-08-12 10:32:57	39.9	116.65	31
2019-08-12 10:32:57	39.75	116.8	2
2019-08-12 10:32:57	38.1	116.25	2
2019-08-12 10:32:57	38.1	116.5	1
2019-08-12 10:32:57	40.15	115.5	2
2019-08-12 10:32:57	39.2	116.8	4
2019-08-12 10:32:57	39.65	116.35	2
2019-08-12 10:32:57	38.4	115.85	15
2019-08-12 10:32:57	40.15	116.8	2
2019-08-12 10:32:57	39.45	116	8
2019-08-12 10:32:57	39.75	117.8	1
2019-08-12 10:32:57	41.45	117.65	2
2019-08-12 10:32:57	41.75	114.8	1
2019-08-12 10:32:57	39.55	115.65	1
2019-08-12 10:32:57	39.55	115.7	4
2019-08-12 10:32:57	38.95	115.15	3
2019-08-12 10:32:57	38.3	114.35	2
2019-08-12 10:32:57	40.45	115.9	4
2019-08-12 10:32:57	38.4	116.15	5
2019-08-12 10:32:57	39	117.1	10
2019-08-12 10:32:57	39.9	117	1
2019-08-12 10:32:57	38.7	115.65	6
2019-08-12 10:32:57	41.6	117.5	2
2019-08-12 10:32:57	38.7	116.05	9
2019-08-12 10:32:57	38.7	116.1	7
2019-08-12 10:32:57	38.85	117.25	8
2019-08-12 10:32:57	38.6	115.8	6
2019-08-12 10:32:57	38.35	114	3
2019-08-12 10:32:57	40.55	115	2
2019-08-12 10:32:57	40.4	114.1	4
2019-08-12 10:32:57	39.95	117.45	2
2019-08-12 10:32:57	38.25	114.4	29
2019-08-12 10:32:57	39.35	116.1	2
2019-08-12 10:32:57	38.25	116.5	3
2019-08-12 10:32:57	40	116.5	62
2019-08-12 10:32:57	38.25	116.45	1
2019-08-12 10:32:57	38.25	115.4	4
2019-08-12 10:32:57	40.25	116.65	8
2019-08-12 10:32:57	39.1	116.25	2
2019-08-12 10:32:57	39.3	116	3
2019-08-12 10:32:57	38.55	117.55	13
2019-08-12 10:32:57	40.15	117.25	11
2019-08-12 10:32:57	40.15	117.3	2
2019-08-12 10:32:57	39.15	116.15	3
2019-08-12 10:32:57	38.7	116.4	1
2019-08-12 10:32:57	38.05	114.4	38
2019-08-12 10:32:57	39.3	115.75	3
2019-08-12 10:32:57	38.7	115.95	1
2019-08-12 10:32:57	38.05	117.9	1
2019-08-12 10:32:57	40.05	117.25	5
2019-08-12 10:32:57	39.7	116.1	23
2019-08-12 10:32:57	38.4	116.6	6
2019-08-12 10:32:57	40.7	114.65	2
2019-08-12 10:32:57	40.7	114.7	5
